Epoch = 172, ER Nodes = 1622, removal debris = 12, Initial probability = 0.0003, GC Size = 9, Avg Degree = 0.49, removal rate = 12
Epoch = 173, ER Nodes = 1631, removal debris = 12, Initial probability = 0.0003, GC Size = 15, Avg Degree = 0.49, removal rate = 12
Epoch = 174, ER Nodes = 1636, removal debris = 12, Initial probability = 0.0003, GC Size = 13, Avg Degree = 0.49, removal rate = 12
Epoch = 175, ER Nodes = 1642, removal debris = 12, Initial probability = 0.0003, GC Size = 7, Avg Degree = 0.49, removal rate = 12
Epoch = 176, ER Nodes = 1645, removal debris = 12, Initial probability = 0.0003, GC Size = 16, Avg Degree = 0.49, removal rate = 12
Epoch = 177, ER Nodes = 1653, removal debris = 12, Initial probability = 0.0003, GC Size = 10, Avg Degree = 0.49, removal rate = 12
Epoch = 178, ER Nodes = 1662, removal debris = 12, Initial probability = 0.0003, GC Size = 15, Avg Degree = 0.50, removal rate = 12
Epoch = 179, ER Nodes = 1670, removal debris = 12, Initial probability = 0.0003, GC Size = 9, Avg Degree = 0.50, removal rate = 12
Epoch = 180, ER Nodes = 1676, removal debris = 12, Initial probability = 0.0003, GC Size = 12, Avg Degree = 0.50, removal rate = 12
Epoch = 181, ER Nodes = 1678, removal debris = 12, Initial probability = 0.0003, GC Size = 13, Avg Degree = 0.51, removal rate = 12
Epoch = 182, ER Nodes = 1680, removal debris = 12, Initial probability = 0.0003, GC Size = 22, Avg Degree = 0.50, removal rate = 12
Epoch = 183, ER Nodes = 1681, removal debris = 12, Initial probability = 0.0003, GC Size = 11, Avg Degree = 0.50, removal rate = 12
Epoch = 184, ER Nodes = 1689, removal debris = 12, Initial probability = 0.0003, GC Size = 12, Avg Degree = 0.51, removal rate = 12
Epoch = 185, ER Nodes = 1698, removal debris = 12, Initial probability = 0.0003, GC Size = 12, Avg Degree = 0.51, removal rate = 12
Epoch = 186, ER Nodes = 1706, removal debris = 12, Initial probability = 0.0003, GC Size = 17, Avg Degree = 0.51, removal rate = 12
Epoch = 187, ER Nodes = 1715, removal debris = 12, Initial probability = 0.0003, GC Size = 13, Avg Degree = 0.51, removal rate = 12
Epoch = 188, ER Nodes = 1725, removal debris = 12, Initial probability = 0.0003, GC Size = 12, Avg Degree = 0.52, removal rate = 12
Epoch = 189, ER Nodes = 1736, removal debris = 12, Initial probability = 0.0003, GC Size = 13, Avg Degree = 0.52, removal rate = 12
Epoch = 190, ER Nodes = 1746, removal debris = 12, Initial probability = 0.0003, GC Size = 13, Avg Degree = 0.52, removal rate = 12
Epoch = 191, ER Nodes = 1747, removal debris = 12, Initial probability = 0.0003, GC Size = 11, Avg Degree = 0.53, removal rate = 12
Epoch = 192, ER Nodes = 1749, removal debris = 12, Initial probability = 0.0003, GC Size = 10, Avg Degree = 0.52, removal rate = 12
Epoch = 193, ER Nodes = 1754, removal debris = 12, Initial probability = 0.0003, GC Size = 17, Avg Degree = 0.53, removal rate = 12
Epoch = 194, ER Nodes = 1757, removal debris = 12, Initial probability = 0.0003, GC Size = 13, Avg Degree = 0.53, removal rate = 12
Epoch = 195, ER Nodes = 1766, removal debris = 12, Initial probability = 0.0003, GC Size = 12, Avg Degree = 0.53, removal rate = 12
Epoch = 196, ER Nodes = 1779, removal debris = 12, Initial probability = 0.0003, GC Size = 13, Avg Degree = 0.53, removal rate = 12
Epoch = 197, ER Nodes = 1794, removal debris = 12, Initial probability = 0.0003, GC Size = 10, Avg Degree = 0.54, removal rate = 12
Epoch = 198, ER Nodes = 1806, removal debris = 12, Initial probability = 0.0003, GC Size = 14, Avg Degree = 0.54, removal rate = 12
Epoch = 199, ER Nodes = 1817, removal debris = 12, Initial probability = 0.0003, GC Size = 15, Avg Degree = 0.54, removal rate = 12
Epoch = 200, ER Nodes = 1827, removal debris = 12, Initial probability = 0.0003, GC Size = 13, Avg Degree = 0.55, removal rate = 12
Epoch = 201, ER Nodes = 1825, removal debris = 12, Initial probability = 0.0003, GC Size = 12, Avg Degree = 0.55, removal rate = 12
Epoch = 202, ER Nodes = 1827, removal debris = 12, Initial probability = 0.0003, GC Size = 14, Avg Degree = 0.55, removal rate = 12
Epoch = 203, ER Nodes = 1827, removal debris = 12, Initial probability = 0.0003, GC Size = 12, Avg Degree = 0.55, removal rate = 12
